,m,l,P,r,T,rho,epsilon,kappa,nabla_ad,nabla,convection/radiation
2194,3.670035017508754e+33,5.7969237355921455e+34,703983403991769.0,47797061159.29193,5080637.974854927,1.0231034209058927,0.0012888516581782024,2.959562810738923,0.4,0.4,convective
2195,3.668334167083542e+33,5.796923516114488e+34,710352336508750.6,47739302127.389435,5089597.13365728,1.0305470013100273,0.0013118795586703118,2.952532447777056,0.4,0.4,convective
2196,3.666633316658329e+33,5.796923292675636e+34,716748853448531.5,47681823232.36345,5098529.296781786,1.0380099224024373,0.0013351991373704434,2.945551219797207,0.4,0.4,convective
2197,3.6649324662331165e+33,5.796923065220934e+34,723172945219653.6,47624621696.58402,5107434.522788087,1.0454921755521664,0.0013588123557740387,2.938618877396892,0.4,0.4,convective
2198,3.6632316158079035e+33,5.796922833695524e+34,729624603232096.4,47567694770.66727,5116312.876158406,1.0529937526755542,0.0013827211807615142,2.931735158422229,0.4,0.4,convective
2199,3.661530765382691e+33,5.796922598044339e+34,736103819897258.9,47511039733.47546,5125164.427297524,1.060514646185039,0.0014069275851464043,2.924899788268296,0.4,0.4,convective
2200,3.659829914957478e+33,5.79692235821211e+34,742610588627977.8,47454653892.116905,5133989.2525328025,1.0680548489382484,0.0014314335482428493,2.9181124801720926,0.4,0.4,convective
2201,3.658129064532266e+33,5.796922114143361e+34,749144903838509.2,47398534581.94609,5142787.43411416,1.0756143541872716,0.0014562410564522823,2.91137293549826,0.4,0.4,convective
2202,3.656428214107053e+33,5.79692186578241e+34,755706760944547.4,47342679166.563545,5151559.060214096,1.0831931555281986,0.0014813521038697353,2.9046808440176166,0.4,0.4,convective
2203,3.6547273636818406e+33,5.796921613073372e+34,762296156363205.8,47287085037.815956,5160304.224927666,1.090791246850832,0.0015067686929095979,2.898035884178853,0.4,0.4,convective
2204,3.653026513256628e+33,5.796921355960158e+34,768913087513033.5,47231749615.79608,5169023.028272504,1.09840862228864,0.001532492834951431,2.891437723372996,0.4,0.4,convective
2205,3.6513256628314154e+33,5.7969210943864675e+34,775557552814008.0,47176670348.842766,5177715.576188815,1.1060452761688844,0.0015585265510054428,2.884886018191487,0.4,0.4,convective
2206,3.649624812406203e+33,5.7969208282958035e+34,782229551687528.8,47121844713.54103,5186381.980539361,1.1137012029629372,0.001584871872398205,2.8783804146773475,0.4,0.4,convective
2207,3.64792396198099e+33,5.796920557631457e+34,788929084556433.1,47067270214.72191,5195022.3591094855,1.12137639723681,0.0016115308414785254,2.871920548570039,0.4,0.4,convective
2208,3.646223111555778e+33,5.796920282336516e+34,795656152844977.5,47012944385.46264,5203636.83560709,1.1290708536018137,0.0016385055123437028,2.8655060455438277,0.4,0.4,convective
